sample_id	participant_id
CGND-HRA-00440	CGND-HDA-01290-b38
CGND-HRA-00441	CGND-HDA-01291-b38
CGND-HRA-00442	CGND-HDA-01292-b38
CGND-HRA-00443	CGND-HDA-01293-b38
CGND-HRA-00444	CGND-HDA-01294-b38
CGND-HRA-00447	CGND-HDA-01297-b38
CGND-HRA-00448	CGND-HDA-01298-b38
CGND-HRA-00449	CGND-HDA-01299-b38
CGND-HRA-00450	CGND-HDA-01300-b38
CGND-HRA-00451	CGND-HDA-00590-b38
CGND-HRA-00452	CGND-HDA-01302-b38
CGND-HRA-00454	CGND-HDA-01304-b38
CGND-HRA-00455	CGND-HDA-01305-b38
CGND-HRA-00456	CGND-HDA-01306-b38
CGND-HRA-00457	CGND-HDA-01307-b38
CGND-HRA-00458	CGND-HDA-01308-b38
CGND-HRA-00459	CGND-HDA-01309-b38
CGND-HRA-00070	CGND-HDA-00189-b38
CGND-HRA-00071	CGND-HDA-00190-b38
CGND-HRA-00073	CGND-HDA-00192-b38
CGND-HRA-00074	CGND-HDA-00193-b38
CGND-HRA-00075	CGND-HDA-00194-b38
CGND-HRA-00076	CGND-HDA-00195-b38
CGND-HRA-00078	CGND-HDA-00197-b38
CGND-HRA-00099	CGND-HDA-00464-b38
CGND-HRA-00101	CGND-HDA-00466-b38
CGND-HRA-00108	CGND-HDA-00473-b38
CGND-HRA-00110	CGND-HDA-00475-b38
CGND-HRA-00111	CGND-HDA-00476-b38
CGND-HRA-00203	CGND-HDA-00590-b38
CGND-HRA-00208	CGND-HDA-00595-b38
CGND-HRA-00684	CGND-HDA-02023
CGND-HRA-00685	CGND-HDA-02024
CGND-HRA-00686	CGND-HDA-02025
CGND-HRA-00687	CGND-HDA-02026
CGND-HRA-00689	CGND-HDA-02028
CGND-HRA-00690	CGND-HDA-02029
CGND-HRA-00693	CGND-HDA-02032
CGND-HRA-00694	CGND-HDA-02033
CGND-HRA-00695	CGND-HDA-02034
CGND-HRA-00696	CGND-HDA-02035
CGND-HRA-00697	CGND-HDA-02036
CGND-HRA-00698	CGND-HDA-02037
CGND-HRA-00704	CGND-HDA-00595-b38
CGND-HRA-00707	CGND-HDA-02046
CGND-HRA-00708	CGND-HDA-02047
CGND-HRA-00709	CGND-HDA-02048
CGND-HRA-00710	CGND-HDA-02049
CGND-HRA-00714	CGND-HDA-01468
CGND-HRA-00716	CGND-HDA-01473
CGND-HRA-00077	CGND-HDA-00196-b38
CGND-HRA-00082	CGND-HDA-00201-b38
CGND-HRA-00100	CGND-HDA-00465-b38
CGND-HRA-00104	CGND-HDA-00469-b38
CGND-HRA-00106	CGND-HDA-00471-b38
CGND-HRA-00121	CGND-HDA-00486-b38
CGND-HRA-00128	CGND-HDA-00493-b38
CGND-HRA-00143	CGND-HDA-00508-b38
CGND-HRA-00151	CGND-HDA-00516-b38
CGND-HRA-00154	CGND-HDA-00519-b38
CGND-HRA-00156	CGND-HDA-00521-b38
CGND-HRA-00159	CGND-HDA-00524-b38
CGND-HRA-00166	CGND-HDA-00531-b38
CGND-HRA-00168	CGND-HDA-00533-b38
CGND-HRA-00169	CGND-HDA-00534-b38
CGND-HRA-00170	CGND-HDA-00535-b38
CGND-HRA-00178	CGND-HDA-00543-b38
CGND-HRA-00182	CGND-HDA-00547-b38
CGND-HRA-00183	CGND-HDA-00548-b38
CGND-HRA-00194	CGND-HDA-00559-b38
CGND-HRA-00202	CGND-HDA-00567-b38
CGND-HRA-00706	CGND-HDA-02045
CGND-HRA-00713	CGND-HDA-02052
CGND-HRA-00718	CGND-HDA-01476
CGND-HRA-00720	CGND-HDA-02061
CGND-HRA-00721	NEURD711XCL-b38
CGND-HRA-00722	NEUCV649UJK-b38
CGND-HRA-00723	NEUUE532LFF-b38
CGND-HRA-00724	NEUYY221HZA-b38
CGND-HRA-00728	CGND-HDA-00946-b38
CGND-HRA-00729	CGND-HDA-00955-b38
CGND-HRA-00072	CGND-HDA-00191-b38
CGND-HRA-00079	CGND-HDA-00198-b38
CGND-HRA-00081	CGND-HDA-00200-b38
CGND-HRA-00126	CGND-HDA-00491-b38
CGND-HRA-00295	CGND-HDA-01310-b38
CGND-HRA-00303	CGND-HDA-01311-b38
CGND-HRA-00311	CGND-HDA-01312-b38
CGND-HRA-00319	CGND-HDA-01313-b38
CGND-HRA-00326	CGND-HDA-01314-b38
CGND-HRA-00333	CGND-HDA-01315-b38
CGND-HRA-00341	CGND-HDA-01316-b38
CGND-HRA-00380	CGND-HDA-01321-b38
CGND-HRA-00386	CGND-HDA-01322-b38
CGND-HRA-00349	CGND-HDA-01317-b38
CGND-HRA-00357	CGND-HDA-01318-b38
CGND-HRA-00365	CGND-HDA-01319-b38
CGND-HRA-00372	CGND-HDA-01320-b38
CGND-HRA-00398	CGND-HDA-01324-b38
CGND-HRA-00404	CGND-HDA-01325-b38
CGND-HRA-00410	CGND-HDA-01326-b38
CGND-HRA-00753	CGND-HDA-02714
CGND-HRA-00758	CGND-HDA-02715
CGND-HRA-00775	CGND-HDA-02719
CGND-HRA-00785	CGND-HDA-02721
CGND-HRA-00794	CGND-HDA-02723
CGND-HRA-00927	CGND-HDA-02759
CGND-HRA-00653	CGND-HDA-00560-b38
CGND-HRA-00175	CGND-HDA-00540-b38
CGND-HRA-00416	CGND-HDA-01327-b38
CGND-HRA-00422	CGND-HDA-01328-b38
CGND-HRA-00434	CGND-HDA-01330-b38
CGND-HRA-00523	CGND-HDA-00534-b38
CGND-HRA-00525	CGND-HDA-00540-b38
CGND-HRA-00566	CGND-HDA-00541-b38
CGND-HRA-00531	CGND-HDA-00543-b38
CGND-HRA-00533	CGND-HDA-00547-b38
CGND-HRA-00534	CGND-HDA-00548-b38
CGND-HRA-00538	CGND-HDA-00549-b38
CGND-HRA-00542	CGND-HDA-00550-b38
CGND-HRA-00549	CGND-HDA-00553-b38
CGND-HRA-00585	CGND-HDA-02053
CGND-HRA-00598	CGND-HDA-02057
CGND-HRA-00620	CGND-HDA-00552-b38
CGND-HRA-00618	CGND-HDA-00551-b38
CGND-HRA-01354	CGND-HDA-02575
CGND-HRA-00846	CGND-HDA-02736
CGND-HRA-00902	CGND-HDA-02752
CGND-HRA-01169	CGND-HDA-02837
CGND-HRA-00465	CGND-HDA-01696
CGND-HRA-00480	CGND-HDA-01700
CGND-HRA-00486	CGND-HDA-01701
CGND-HRA-00492	CGND-HDA-01702
CGND-HRA-00636	CGND-HDA-02237
CGND-HRA-00671	CGND-HDA-00565-b38
CGND-HRA-01350	CGND-HDA-02574
CGND-HRA-01358	CGND-HDA-02576
CGND-HRA-01362	CGND-HDA-02577
CGND-HRA-01366	CGND-HDA-02578
CGND-HRA-01370	CGND-HDA-02579
CGND-HRA-00643	CGND-HDA-00556-b38
CGND-HRA-00676	CGND-HDA-00566-b38
CGND-HRA-00731	CGND-HDA-02063
CGND-HRA-01372	CGND-HDA-02591
CGND-HRA-00667	CGND-HDA-00564-b38
CGND-HRA-00763	CGND-HDA-02716
CGND-HRA-00767	CGND-HDA-02717
CGND-HRA-00803	CGND-HDA-02726
CGND-HRA-00808	CGND-HDA-02727
CGND-HRA-00813	CGND-HDA-02728
CGND-HRA-00817	CGND-HDA-02729
CGND-HRA-00822	CGND-HDA-02730
CGND-HRA-00825	CGND-HDA-02731
CGND-HRA-00828	CGND-HDA-02732
CGND-HRA-00832	CGND-HDA-02733
CGND-HRA-00851	CGND-HDA-02737
CGND-HRA-00857	CGND-HDA-02739
CGND-HRA-00862	CGND-HDA-02741
CGND-HRA-00868	CGND-HDA-02743
CGND-HRA-00878	CGND-HDA-02745
CGND-HRA-00885	CGND-HDA-02747
CGND-HRA-01083	CGND-HDA-02807
CGND-HRA-01604	CGND-HDA-02725
CGND-HRA-00893	CGND-HDA-02749
CGND-HRA-00899	CGND-HDA-02751
CGND-HRA-00911	CGND-HDA-02755
CGND-HRA-00918	CGND-HDA-02757
CGND-HRA-00932	CGND-HDA-02760
CGND-HRA-00936	CGND-HDA-02761
CGND-HRA-00940	CGND-HDA-02762
CGND-HRA-00950	CGND-HDA-02765
CGND-HRA-00957	CGND-HDA-02767
CGND-HRA-00966	CGND-HDA-02770
CGND-HRA-00970	CGND-HDA-02771
CGND-HRA-00982	CGND-HDA-02774
CGND-HRA-00986	CGND-HDA-02775
CGND-HRA-01000	CGND-HDA-02778
CGND-HRA-01003	CGND-HDA-02779
CGND-HRA-01009	CGND-HDA-02781
CGND-HRA-01012	CGND-HDA-02782
CGND-HRA-01015	CGND-HDA-02783
CGND-HRA-01018	CGND-HDA-02784
CGND-HRA-01020	CGND-HDA-02785
CGND-HRA-01023	CGND-HDA-02786
CGND-HRA-01025	CGND-HDA-02787
CGND-HRA-01028	CGND-HDA-02788
CGND-HRA-01031	CGND-HDA-02789
CGND-HRA-01034	CGND-HDA-02790
CGND-HRA-01037	CGND-HDA-02791
CGND-HRA-01040	CGND-HDA-02792
CGND-HRA-01042	CGND-HDA-02793
CGND-HRA-01045	CGND-HDA-02794
CGND-HRA-01048	CGND-HDA-02795
CGND-HRA-01051	CGND-HDA-02796
CGND-HRA-01054	CGND-HDA-02797
CGND-HRA-01057	CGND-HDA-02798
CGND-HRA-01059	CGND-HDA-02799
CGND-HRA-01062	CGND-HDA-02800
CGND-HRA-01065	CGND-HDA-02801
CGND-HRA-01068	CGND-HDA-02802
CGND-HRA-01072	CGND-HDA-02803
CGND-HRA-01075	CGND-HDA-02804
CGND-HRA-01078	CGND-HDA-02805
CGND-HRA-01080	CGND-HDA-02806
CGND-HRA-01086	CGND-HDA-02808
CGND-HRA-01089	CGND-HDA-02809
CGND-HRA-01092	CGND-HDA-02810
CGND-HRA-01095	CGND-HDA-02811
CGND-HRA-01098	CGND-HDA-02812
CGND-HRA-01101	CGND-HDA-02813
CGND-HRA-01107	CGND-HDA-02815
CGND-HRA-01110	CGND-HDA-02816
CGND-HRA-01113	CGND-HDA-02817
CGND-HRA-01119	CGND-HDA-02819
CGND-HRA-01122	CGND-HDA-02820
CGND-HRA-01124	CGND-HDA-02821
CGND-HRA-01127	CGND-HDA-02822
CGND-HRA-01130	CGND-HDA-02823
CGND-HRA-01133	CGND-HDA-02824
CGND-HRA-01138	CGND-HDA-02826
CGND-HRA-01140	CGND-HDA-02827
CGND-HRA-01143	CGND-HDA-02828
CGND-HRA-01146	CGND-HDA-02829
CGND-HRA-01149	CGND-HDA-02830
CGND-HRA-01155	CGND-HDA-02832
CGND-HRA-01157	CGND-HDA-02833
