sample_id	participant_id
CGND-HRA-01160	CGND-HDA-02834
CGND-HRA-01163	CGND-HDA-02835
CGND-HRA-01172	CGND-HDA-02838
CGND-HRA-00130	CGND-HDA-00495-b38
CGND-HRA-00140	CGND-HDA-00505-b38
CGND-HRA-00141	CGND-HDA-00506-b38
CGND-HRA-00142	CGND-HDA-00507-b38
CGND-HRA-00146	CGND-HDA-00511-b38
CGND-HRA-00475	CGND-HDA-01699
CGND-HRA-01987	CGND-HDA-03739
CGND-HRA-02058	CGND-HDA-03754
CGND-HRA-02019	CGND-HDA-03746
CGND-HRA-02048	CGND-HDA-03752
CGND-HRA-02081	CGND-HDA-03758
CGND-HRA-02104	CGND-HDA-03763
CGND-HRA-02133	CGND-HDA-03767
CGND-HRA-01173	CGND-HDA-02478
CGND-HRA-01278	CGND-HDA-02580
CGND-HRA-01303	CGND-HDA-02856
CGND-HRA-01311	CGND-HDA-02857
CGND-HRA-01319	CGND-HDA-02858
CGND-HRA-01421	CGND-HDA-02860
CGND-HRA-01430	CGND-HDA-03067
CGND-HRA-01442	CGND-HDA-03127
CGND-HRA-01422	CGND-HDA-03066
CGND-HRA-01443	CGND-HDA-03133
CGND-HRA-01451	CGND-HDA-03134
CGND-HRA-01459	CGND-HDA-03135
CGND-HRA-01467	CGND-HDA-03136
CGND-HRA-01516	CGND-HDA-00990-b38
CGND-HRA-02220	CGND-HDA-01476
CGND-HRA-01480	CGND-HDA-02052
CGND-HRA-01544	CGND-HDA-03265
CGND-HRA-01556	CGND-HDA-00253-b38
CGND-HRA-01561	CGND-HDA-01001-b38
CGND-HRA-01573	CGND-HDA-03270
CGND-HRA-01579	CGND-HDA-03271
CGND-HRA-01585	CGND-HDA-03272
CGND-HRA-01606	CGND-HDA-03383
CGND-HRA-01613	CGND-HDA-03261
CGND-HRA-02142	CGND-HDA-03865
CGND-HRA-02181	CGND-HDA-03870
CGND-HRA-01597	CGND-HDA-03274
CGND-HRA-01603	CGND-HDA-03276
CGND-HRA-01616	CGND-HDA-03262
CGND-HRA-01625	CGND-HDA-03394
CGND-HRA-01632	CGND-HDA-03395
CGND-HRA-01644	CGND-HDA-03497
CGND-HRA-01650	CGND-HDA-00452-b38
CGND-HRA-01657	CGND-HDA-01377
CGND-HRA-02156	CGND-HDA-03867
CGND-HRA-02163	CGND-HDA-03868
